id,Status,Created date (UTC),Amount,Currency,Description
ch_0000000,Paid,2020-08-01 10:30:39,196.72,aud,Subscription update
ch_0000001,Paid,2020-08-01 15:30:53,355.04,aud,Subscription update
ch_0000002,Paid,2020-08-02 19:29:21,1571.58,aud,Invoice payment
ch_0000003,Paid,2020-08-03 15:32:01,192.18,aud,Subscription update
ch_0000004,Paid,2020-08-04 08:02:52,186.4,aud,IV League - Booking
ch_0000005,Paid,2020-08-06 14:16:35,195.47,aud,Subscription update
ch_0000006,Paid,2020-08-11 20:48:50,331.08,aud,Subscription update
ch_0000007,Paid,2020-08-12 20:23:23,192.26,aud,Subscription update
ch_0000008,Paid,2020-08-13 15:59:16,241.6,aud,IV League - Booking
ch_0000009,Paid,2020-08-15 14:22:10,198.86,aud,Subscription update
ch_0000010,Paid,2020-08-15 18:09:24,1612.19,aud,Invoice payment
ch_0000011,Paid,2020-08-15 18:55:05,594.06,aud,Subscription update
ch_0000012,Paid,2020-08-17 09:56:44,194.95,aud,Subscription update
ch_0000013,Paid,2020-08-17 16:36:26,351.45,aud,Subscription creation
ch_0000014,Paid,2020-08-18 18:35:47,339.4,aud,Subscription update
ch_0000015,Paid,2020-08-19 12:26:31,592.2,aud,Subscription update
ch_0000016,Paid,2020-08-20 19:15:07,196.92,aud,Subscription update
ch_0000017,Paid,2020-08-21 09:58:52,358.32,aud,Subscription update
ch_0000018,Paid,2020-08-21 14:14:39,344.12,aud,Subscription update
ch_0000019,Paid,2020-08-22 08:09:15,202.53,aud,Subscription update
ch_0000020,Paid,2020-08-22 12:12:50,196.45,aud,Subscription update
ch_0000021,Paid,2020-08-23 08:45:12,206.55,aud,Subscription update
ch_0000022,Paid,2020-08-23 11:46:39,204.29,aud,Subscription update
ch_0000023,Paid,2020-08-23 18:07:13,1721.87,aud,Invoice payment
ch_0000024,Paid,2020-08-26 14:03:25,196.23,aud,Subscription update
ch_0000025,Paid,2020-08-26 19:50:07,1643.12,aud,Invoice payment
ch_0000026,Paid,2020-08-27 17:42:03,445.81,aud,IV League - Booking
ch_0000027,Paid,2020-08-28 20:55:11,603.76,aud,Subscription update
ch_0000028,Paid,2020-08-30 14:49:15,195.49,aud,Subscription update
ch_0000029,Paid,2020-08-31 10:42:15,305.25,aud,IV League - Booking
ch_0000030,Paid,2020-08-31 19:23:53,449.12,aud,IV League - Booking
ch_0000031,Paid,2020-09-01 12:04:52,199.35,aud,Subscription update
ch_0000032,Paid,2020-09-01 17:04:41,2013.49,aud,Invoice payment
ch_0000033,Paid,2020-09-01 19:18:35,197.18,aud,Subscription update
ch_0000034,Refunded,2020-09-02 15:57:24,349.0,aud,Subscription update
ch_0000035,Paid,2020-09-04 06:10:24,195.56,aud,Subscription creation
ch_0000036,Paid,2020-09-04 10:56:03,194.09,aud,Subscription update
ch_0000037,Paid,2020-09-04 13:36:23,1005.29,aud,Invoice payment
ch_0000038,Paid,2020-09-06 06:44:10,430.59,aud,Package initiation
